"","date","algae","corrected_depth","mean_sym","mean_apo","light","temp"
"1","9/1/23",0,74.3,0,4,67.986,19.63167
"2","9/1/23",0,72.3,0,2.5,26.942,19.656
"3","9/1/23",0,66.4,0,6,44.54,19.64
"4","9/1/23",0,63.4,0,8,31.67154,19.67077
"5","9/1/23",100,12.5,2,4.5,1874.498,19.73419
"6","9/1/23",0,46.3,0,64,36.36423,19.70962
"7","9/1/23",0,51.3,0,19,27.34,19.65917
"8","9/1/23",0,38.3,10,47,68.88,19.645
"9","9/1/23",0,37.4,15.5,35,140.2,19.673
"10","9/1/23",0,41.4,5,104,56.45167,19.65833
"11","9/1/23",0,40.4,10.5,54.5,67.11957,19.67348
"12","9/1/23",100,16.5,4,19.5,1070.607,19.70062
"13","9/1/23",90,14.6,3,8.5,1413.745,19.73129
"14","8/23/23",0,34.7,43.5,38.5,379.5893,20.37833
"15","8/23/23",100,16.8,13.5,31.5,2618.609,20.43231
"16","8/23/23",100,13.8,1.5,7,2479.17,20.42656
"17","8/23/23",100,14.8,3,12.5,1855.025,20.47909
"18","8/23/23",100,12.9,3,6.5,1888.091,20.47143
"19","8/23/23",100,10.9,0,1,2365.928,20.46211
"20","8/23/23",100,14.9,1,15,1522.453,20.47333
"21","8/23/23",100,14.9,2,14,1346.98,20.44958
"22","8/23/23",100,9.9,6.5,19.5,2710.407,20.45333
"23","9/7/23",0,37.2,30.5,50,303.58,19.74656
"24","9/7/23",0,34.2,56,45.5,362.0655,19.52682
"25","9/7/23",0,31.2,44.5,23,317.2218,19.49818
"26","9/7/23",60,25.2,5,4,907.5627,19.612
"27","9/7/23",45,28.1,17.5,23.5,503.1822,19.60333
"28","9/7/23",10,28.1,19,27.5,741.0347,19.576
"29","9/7/23",75,27.1,10,18.5,1237.2,19.5875
"30","9/7/23",90,23,4.5,43,1178.257,19.56973
"31","9/7/23",85,15,4.5,16.5,3137.958,19.59
"32","9/7/23",100,11.8,5,28,9231.531,22.03467
"33","9/7/23",55,13.7,7,9.5,5925.831,21.56222
"34","9/7/23",40,15.7,3,6,7686.827,21.43333
"35","9/7/23",80,19.7,8.5,10.5,1518.662,21.26818
"36","9/7/23",30,19.7,4,1.5,2545.707,20.95667
"37","9/7/23",45,18.6,17.5,13,3310.933,20.89778
"38","9/7/23",85,17.6,0.5,11,2440.704,20.776
"39","9/7/23",90,9.6,1.5,5.5,9595.947,20.95667
"40","9/7/23",100,10.5,7,8,11830.27,21.302
"41","9/7/23",100,8.5,0.5,0,6584.747,21.51667
"42","9/7/23",100,8.5,0,0,11575.95,21.55857
"43","9/7/23",95,5.4,0,0.5,4195.36,21.415
"44","9/7/23",100,4.4,0,1.5,22240,21.66
"45","9/7/23",95,5.4,0,0,24325.12,21.7
"46","9/22/23",0,75.3,0,37.5,4.9576,17.5052
"47","9/22/23",5,20.4,13,6,2659.058,18.84389
"48","9/22/23",40,18.4,7,17.5,3239.237,18.82269
"49","9/22/23",75,26.3,1,10,1094.32,18.79667
"50","9/22/23",50,27.3,13.5,58.5,1093.614,18.77457
"51","9/22/23",5,31.3,68.5,37,383.159,18.74
"52","9/22/23",20,28.2,21,41.5,1097.04,18.75679
"53","9/22/23",90,18.2,0.5,31.5,604.4661,18.76957
"54","9/22/23",80,14.1,0.5,26.5,4575.634,18.89286
"55","9/22/23",75,14.1,5,38,1627.136,18.87829
"56","9/22/23",0,36.4,17,58.5,330.9356,18.82722
"57","9/22/23",0,32.3,16,7.5,653.5093,18.792
"58","9/22/23",25,27.3,19,2.5,542.29,18.755
"59","9/22/23",10,29.3,40.5,12.5,734.6286,18.72714
"60","9/29/23",90,21.7,1,5.5,19.57308,17.82615
"61","9/29/23",100,21.8,0,0,49.7825,17.85375
"62","9/29/23",5,22.8,9,57.5,61.89481,17.86259
"63","9/29/23",0,22.9,3.5,44.5,71.52,17.861
"64","9/29/23",85,20,0,8.5,56.98259,17.85889
"65","9/29/23",100,19.1,0,10,138.0756,17.86481
"66","10/3/23",80,25.1,4,52.5,425.3289,17.79222
"67","10/3/23",85,20,3,30.5,879.7257,17.80839
"68","10/3/23",90,19.9,3.5,16.5,1301.875,17.80963
"69","10/3/23",95,15.8,5.5,12,1695.545,17.82115
"70","10/13/23",0,75.1,0,17,5.411429,17.2081
"71","10/13/23",0,72.1,0,4.5,8.552857,17.24143
"72","10/13/23",0,64.2,0,22,3.65,17.31571
"73","10/13/23",0,57.3,0,16,5.740833,17.32
"74","10/13/23",0,55.4,0,26.5,30.727,17.338
"75","10/23/23",0,57.5,0,36,19.79464,16.1975
"76","10/23/23",0,56.5,0,26,21.5855,16.228
"77","10/23/23",0,55.5,0,32,16.90786,16.275
"78","10/23/23",0,54.5,0,95,41.492,16.292
"79","10/23/23",0,53.5,0,46,43.549,16.2895
"80","10/23/23",0,54.5,0,45.5,30.24636,16.29045
"81","10/23/23",0,53.5,0,32.5,28.02417,16.28
"82","10/23/23",0,41.5,0,0,84.91,16.296
"83","10/23/23",0,44.5,0,70,83.31185,16.29556
"84","10/23/23",0,43.5,0,81,75.75556,16.29
"85","10/23/23",0,45,0,32,138.9782,16.32727
"86","10/23/23",0,45,0,51.5,181.0912,16.3212
"87","10/23/23",0,47,0,159.5,134.276,16.29
"88","10/23/23",0,43,0,101.5,107.0867,16.275
"89","10/23/23",0,43,0,17.5,282.6438,16.23571
"90","10/23/23",0,38.9,11,31.5,347.2563,16.1963
"91","10/23/23",0,40.9,2,81.5,232.1662,16.16692
"92","10/23/23",0,42.9,0,109,83.08353,16.19941
"93","10/23/23",0,38.9,23,47.5,390.9429,16.15321
"94","11/2/23",5,21.7,19,0.5,305.3891,15.01
"95","11/2/23",30,23.6,15,1.5,784.4522,15.12043
"96","11/2/23",40,22.6,5.5,1.5,885.9294,15.17
"97","11/2/23",75,20.5,7,1.5,1617.99,15.17049
"98","11/2/23",70,19.5,3,13.5,1236.8,15.17241
"99","11/2/23",90,9.4,0,0,608.97,15.1575
"100","11/2/23",85,7.4,0,1,1015.579,15.13158
"101","11/2/23",95,7.4,0,0,1114.464,15.1144
"102","11/2/23",100,3.4,0,4,635.3257,15.07
"103","11/2/23",100,2.3,4,8,504.3792,15.02
"104","11/2/23",90,9.3,0,0,473.5,14.90375
"105","11/2/23",80,5.3,2,0,1125.461,14.892
"106","11/2/23",70,3.2,4,1,794.24,14.83368
"107","11/2/23",100,1.2,0,0,10512.56,14.98708
"108","11/2/23",100,2.1,0,1,11365.57,15.02676
"109","11/3/23",0,71.4,0,3,4.706667,15.25833
"110","11/3/23",0,69.4,0,3.5,10.09308,15.40308
"111","11/3/23",0,69.4,0,33,9.262,15.45867
"112","11/3/23",0,66.4,0,3,9.058462,15.45846
"113","11/3/23",0,65.4,0,4.5,11.473,15.495
"114","11/3/23",0,60.4,0,5.5,12.04643,15.515
"115","11/3/23",0,61.4,0,14,17.68222,15.50778
"116","11/3/23",0,63.4,0,60.5,13.36357,15.51929
"117","11/5/23",90,1.2,0,0,13126.95,15.24889
"118","11/5/23",80,1.3,5.5,0,8062.664,15.08652
"119","11/5/23",90,2.3,1,0,7639.654,15.0416
"120","11/5/23",95,2.3,12.5,10,5416.559,15.2842
"121","11/5/23",95,0.4,0,0,9142.282,15.58348
"122","11/9/23",0,45.9,0,56,48.66158,14.80053
"123","11/9/23",0,48.9,0,51,21.54739,14.85652
"124","11/9/23",0,47.9,0,106.5,24.31158,14.88895
"125","11/9/23",0,37.9,15.5,17.5,86.43297,14.90351
"126","11/9/23",0,36.8,25.5,22.5,80.75412,14.90647
"127","11/9/23",0,38.8,23,48,31.8075,14.89841
"128","11/9/23",0,39.8,11,48.5,30.93593,14.90074
"129","11/9/23",0,34.8,46,27.5,78.345,14.81278
"130","11/9/23",0,32.7,39.5,42.5,95.0175,14.81875
"131","11/9/23",0,32.7,50.5,31.5,109.3486,14.80643
"132","11/9/23",0,30.7,40.5,29,62.435,14.69905
"133","11/9/23",5,34.6,41,21,49.46824,14.67549
"134","11/9/23",0,30.6,36,21,64.73556,14.67
"135","11/13/23",0,38.2,16.5,67.5,572.2829,13.87018
"136","11/13/23",0,37.2,39,50,579.0822,13.90056
"137","11/13/23",0,36.3,36,50.5,609.0222,13.89556
"138","11/13/23",0,34.4,42,57,510.5874,13.88382
"139","11/13/23",0,30.5,23.5,26,738.3262,13.87231
"140","11/13/23",5,30.6,31,31,905.0514,13.86714
